ds,yhat,yhat_lower,yhat_upper
2024-10-10,74.63839962900657,64.10051571556754,86.75675166453122
2024-10-11,74.15367234742843,62.70572396948996,86.1941112059473
2024-10-12,75.67343230194858,64.00030554811832,87.17403549089592
2024-10-13,76.24858251716579,63.779021122793765,88.53853266356258
2024-10-14,74.38699689276463,62.31192020099783,85.92776592884596
2024-10-15,74.9740387917868,63.16063023041913,86.58101314328141
2024-10-16,76.99069642399044,64.76453088524654,88.57749027188288
2024-10-17,76.29457936705353,64.26564431381225,88.02341460698791
2024-10-18,75.69890246835408,64.39909292332987,87.09347786255483
2024-10-19,77.08777138662373,65.21516263814242,88.04006943457819
2024-10-20,77.5162969989275,65.40049190284358,88.75126648786642
2024-10-21,75.49678385930275,62.565487625352006,86.47083744678885
2024-10-22,75.91913222863984,64.23842761936076,87.6549018295506
2024-10-23,77.76885599751944,64.86263041486939,89.35546833593614
2024-10-24,76.90796392073717,64.27781877635498,88.22301266592865
2024-10-25,76.15383340521052,64.71504414174295,88.40724765902912
2024-10-26,77.39439395326147,66.82629789748415,88.6758279244937
2024-10-27,77.68815009770326,66.39400078004809,89.24958538890506
2024-10-28,75.55029132536716,63.277264697608835,86.47951981788681
2024-10-29,75.8730304577593,64.30532522611246,87.78447719819
2024-10-30,77.6435743477846,66.23776830096037,89.33880863800026
2024-10-31,76.72497539715263,65.51896128802817,88.57344268163527
2024-11-01,75.93499374344555,64.58213302429506,88.21639083691241
2024-11-02,77.16128733382575,65.17998961867369,87.50679030506127
2024-11-03,77.46145934313685,66.17181332433343,89.07376704850715
2024-11-04,75.34920957413935,63.271853459724824,87.22461530990863
2024-11-05,75.71472999432784,65.42303797719953,87.9739926349986
2024-11-06,77.54274653718869,66.13139817992764,88.46220447237418
2024-11-07,76.69345357319737,65.20980144187955,89.06946271915552
2024-11-08,75.98146849148657,63.29477525268233,87.03026793093584
